Code,subcode,Offence description,Violent offence
11593,11593.0,Making a false statement to obtain a permit to auction firearms etc - (Group II),Yes
11594,11594.0,Failure to transfer shotgun in person - (Group II),Yes
11595,11595.0,Failure to give notice in writing to the Chief Officer of Police of transfers involving shotguns - (Group II),Yes
11596,11596.0,"Failure by certificate holder to notify in writing Chief Officer of Police of deactivation, destruction or loss of shotgun - (Group II)",Yes
11597,11597.0,"Failure by certificate holder to notify Chief Officer of Police in writing of events taking place outside Great Britain involving shotguns (sold or otherwise disposed of, lost, etc) (Group II)",Yes
11598,11598.0,Failure to comply with instructions on shotgun certificate,Yes
11600,11600.0,"Fishery Laws, offences against    [Use this code only if you are unable to determine which subcoded Offence applies]",No
11601,11601.0,Offences against Sea Fisheries Acts 1851 to 1968 as amended by Criminal Justice & Public Order Act 1994 S.157 Sch.8 Part 1,No
11602,11602.0,Offences against Sea Fisheries Regulation Acts 1891 to 1966,No
11603,11603.0,Offences against Behring Sea Award Act 1894,No
11604,11604.0,Offences against Seal Fisheries (North Pacific) Acts 1895 and 1912,No
11606,11606.0,Offences against Salmon and Freshwater Fisheries Act 1975,No
11609,11609.0,Offences against Whaling Industry (Regulation) Act 1934,No
11611,11611.0,Taking or destroying etc any fish in private fishery etc. Theft Act 1968 Sch.1 Para.2(1),No
11612,11612.0,Offences against Diseases of Fish Act 1937 and Orders thereunder and Diseases of Fish Act 1983,No
11617,11617.0,Offences against Sea Fish Industry Acts 1970 (except S.42) and 1973 and Fisheries Act 1981,No
11618,11618.0,Offences against Conservation of Seals Act 1970,No
11619,11619.0,"Offences against similar provisions in Local Acts Fishery Laws, offences against",No
11620.0,11620.0,Fishery Laws - offences against similar provision in Local Acts,No
11700,11700.0,Offences against Friendly Societies Acts 1896 to 1971 (except S.87 of 1896 Act and S.6(7) of 1971 Act),No
11800,11800.0,Night Poaching    [Use this code only if you are unable to determine which subcoded Offence applies],No
11801,11801.0,"Taking or destroying game or rabbits on lands, etc, by night, or entering lands at night to take or destroy game",No
11802,11802.0,"Taking or destroying game or rabbits by night on roads, etc, or at openings, etc, from lands, etc",No
11900,11900.0,Day Poaching    [Use this code only if you are unable to determine which subcoded Offence applies],No
11901,11901.0,"Trespassing in the daytime in search of game, etc and other offences in connection therewith",No
12000,12000.0,"Unlawful possession of game, etc    [Use this code only if you are unable to determine which subcoded Offence applies]",No
12001,12001.0,"Coming from land in possession of game which has been unlawfully obtained, or with gun or net",No
12100,12100.0,Other offences against Game Laws    [Use this code only if you are unable to determine which subcoded Offence applies],No
12101,12101.0,Dealer or other person having game in possession out of season,No
12102,12102.0,Sale of game by persons not licensed to kill or sell game,No
12103,12103.0,Private individuals etc buying game from persons not licensed dealers,No
12104,12104.0,Dealer buying from person not authorised to sell game or not affixing notice board of licence; unlicensed person by affixing notice board or otherwise pretending to be licensed to deal in game,No
12105,12105.0,Selling hares out of season,No
12106,12106.0,"Killing game without licence; laying poison to destroy game; taking or destroying eggs of game, etc; killing game on Sunday or Christmas Day; killing game out of season; occupier of land killing game without authority",No
12107,12107.0,Killing ground game by night or with poison,No
12109,12109.0,Obstructing person authorised to kill rabbits or vermin,No
12111,12111.0,Offences against Deer Act 1991,No
12112,12112.0,Offences against Game Licences Act 1860,No
12113,12113.0,Hunting a wild mammal with a dog,No
12114,12114.0,Knowingly permitting land to be entered or used in the course of hunting a wild mammal with dogs,No
12115,12115.0,Knowingly permitting a dog to be used in the course of hunting a wild mammal,No
12116,12116.0,Participating in a hare coursing event,No
12117,12117.0,Attending a hare coursing event,No
12118,12118.0,Knowingly facilitating a hare coursing event,No
12119,12119.0,Permitting land to be used for the purpose of a hare coursing event,No
12120,12120.0,Permitting etc a dog to participate in a hare coursing event,No
12200,12200.0,"Obstructions, other than those caused by vehicles    [Use this code only if you are unable to determine which subcoded Offence applies]",No
12201,12201.0,Offences against Highways Act 1835 S.72 (amended) insofar as it relates to animals,No
12202,12202.0,Offences against Public Health Act 1925 and Byelaws,No
12203,12203.0,Offences against Road Traffic Regulation Act 1984 S.25(5),No
12204,12204.0,Offences against Road Traffic Regulation Act 1984 S.17(4) (Animals),No
12205,12205.0,Offences against Road Traffic Regulation Act 1984 S.17(4) (Pedestrians),No
12206,12206.0,Offences against Motorway Traffic (England and Wales) Regulations 1982 R.15(1)(b),No
12207,12207.0,Occupier of agricultural land fail to prevent crop from encroaching on a highway to inconvenience a public right of way,No
12220,12220.0,"Obstructions, other than those caused by vehicles: Other similar offences",No
12300,12300.0,"Nuisances, other than those caused by vehicles    [Use this code only if you are unable to determine which subcoded Offence applies]",No
12301,12301.0,Offences against Explosives Act 1875 S.80,No
12302,12302.0,Offences against Town Police Clauses Act 1847 SS.26 and 28 and Public Health Act 1875 S.171(1),No
12303,12303.0,Offences against Municipal Corporations Act 1882 S.23,No
12304,12304.0,Offences against Local Government Act 1972 SS.235-237 and byelaws,No
12305,12305.0,Offences against Highways Act 1980 SS.161-163,No
12306,12306.0,Offences against Highways Act 1980 S.161A,No
12400,12400.0,"Other offences, other than those caused by vehicles    [Use this code only if you are unable to determine which subcoded Offence applies]",No
12401,12401.0,Offences against Road Traffic Act 1988 S.37,No
12402,12402.0,Offences against Road Traffic Act 1988 S.169,No
12403,12403.0,"Offences against Highways Act 1980 SS.46, 73, 74, 79, 131, 134 and 136",No
12404,12404.0,Offences against Highways Act 1980 SS.171-175,No
12405,12405.0,"Offences against Highways Act 1980 SS.176, 178-180 and 184(17).",No
12406,12406.0,Offences against Highways Act 1980 SS.194-196,No
12407,12407.0,"Offences against Highways Act 1980 SS.188, 293 and 303",No
12408,12408.0,Offences against Road Traffic Act 1988 S.26 (insofar as it relates to pedestrians),No
12409,12409.0,Offences against Highways Act 1980 S.128,No
12410,12410.0,Offences against Highways Act 1980 S.139,No
12411,12411.0,Offences against Highways Act 1980 S.140,No
12412,12412.0,Offences against Highways Act 1980 S.167,No
12413,12413.0,Offences against Highways Act 1980 S.168,No
12414,12414.0,Offences against Highways Act 1980 S.177,No
12415,12415.0,Offences against Highways Act 1980 S.292(3),No
12416,12416.0,Failure to comply with order to remove obstruction - Highways Act 1980. Failure to comply with order to remove obstruction after conviction,No
12417,12417.0,Summary offences in connection with permits - Traffic Management Act 2004,No
12418,12418.0,Failure to comply with S65(1)(2) - safety measures - New Road & Street Works Act 1991,No
12419,12419.0,Summary offences except S.65 - New Road & Street Works Act 1991,No
12420,12420.0,Other offences than those caused by vehicles not included above,No
12500,12500.0,Offences against public order    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
12501,12501.0,Wearing political uniform,Yes
12502,12502.0,Wilfully obstructing a constable in the exercise of a power conferred by S.1 - Counter-Terrorism Act 2008,Yes
12505.0,12505.0,Offences under the Public Meeting Act 1908,No
12509,12509.0,"Causing intentional harassment, alarm or distress",Yes
12511,12511.0,Fear or provocation of violence,Yes
12512,12512.0,"Harassment, alarm or distress. Use or display threatening behaviour, words (written or spoken) or visual representation likely to cause harassment / alarm / distress",Yes
12513,12513.0,Advance notice of public processions,Yes
12514,12514.0,Failing to comply with conditions on public processions,Yes
12515,12515.0,Failing to comply with conditions imposed on public assemblies,Yes
12516,12516.0,"Possessing fireworks etc in, or when entering, a designated sports ground",Yes
12517,12517.0,Fail to comply with prohibition on public procession,Yes
12518,12518.0,Offences under Public Order Act 1986 Part II SS.14A & 14B(1) as added by Criminal Justice & Public Order Act 1994 S.70,Yes
12519,12519.0,Take part in prohibited assembly,Yes
12520,12520.0,Inciting another to take part in a prohibited trespassory assembly,Yes
12521,12521.0,Ignoring a directive not to proceed in the direction of a trespassory assembly,Yes
12522,12522.0,Failing to leave land when directed or to return as a trespasser within three months,Yes
12523,12523.0,Contravening a licence Football Spectators Act 1989 S.10(13),Yes
12524,12524.0,Failing to comply with the duty to report imposed by an International Football Banning Order,Yes
12525,12525.0,Failing to comply with requirements necessary to give effect to International Football Banning Orders,Yes
12526,12526.0,Making a false statement or making use of a false document in connection with an application for exemption from the duty to report,Yes
